item,cue,target,distractor1 ,distractor 2,afectocue,afectotarget,afectoD1,afectoD2,,afectos
1,HOMBRE,MUJER,LAVABO,EDUCACIÓN,3,3,3,3,,1_positivo
2,INSECTO,ARAÑA,RESPUESTA,MEDIA,3,3,3,3,,2_negativo
3,ORACIÓN,FRASE,OBRA,MIEL,3,3,3,3,,3_neutral
4,CORTINA,VENTANA,INDUSTRIA,NEVERA,3,3,3,3,,
5,VIVIENDA,EDIFICIO,CAUCE,CAPILLA,3,3,3,3,,
6,CÍRCULO,CUADRADO,PASILLO,ASCENSOR,3,3,3,3,,
7,CODO,BRAZO,BARRIL,LAMPAZO,3,3,3,3,,
8,MONEDA,CARA,VIOLÍN,PÁRRAFO,3,3,3,3,,
9,MUSEO,ESTATUA,NUDO,BRISA,3,3,3,3,,
10,OFICINA,TRABAJO,CABALLO,MANDARINA,3,3,3,3,,
11,PUERTO,LAGO,CESTA,EJERCICIO,3,3,3,3,,
12,RELOJ,ARENA,VISIÓN,PENSION,3,3,3,3,,
13,SILLA,ASIENTO,PAÑUELO,OBJETO,3,3,3,3,,
14,TIMBRE,CASA,CONTINUIDAD,BAR,3,3,3,3,,
15,VAPOR,AGUA,PLANETA,LLAVE,3,3,3,3,,
16,BOTELLA,VINO,BOCETO,TRAJE,3,3,3,3,,
17,PARAGUAS,FRÍO,AGUJA,MOMENTO,3,3,3,3,,
18,CALIDAD,PRODUCTO,PIEZA,LITRO,3,3,3,3,,
19,METAL,HIERRO,MÁQUINA,MERCADO,3,3,3,3,,
20,IDEA,PENSAMIENTO,PRESIÓN,ROSAL,3,3,3,3,,
21,COCINA,PLATO,DEDO,PALMA,3,3,3,3,,
22,VIVIENDA,HOGAR,TONADA,MÚSCULO,3,3,3,3,,
23,BLANCO,COLOR,VESTÍBULO,ROCA,3,3,3,3,,
24,GUANTE,NIEVE,SIERRA,CRIATURA,3,3,3,3,,
25,GUSANO,HOJA,MOTOR,TENIS,3,3,3,3,,
26,INSECTO,MOSCA,PINTURA,ESCALERA,3,3,3,3,,
27,LECHE,VACA,VESTIDO,TRANVÍA,3,3,3,3,,
28,PLACA,HIELO,VELERO,SECADOR,3,3,3,3,,
29,PUERTO,BARCO,CHALECO,REUNIÓN,3,3,3,3,,
30,REPTIL,TIERRA,ASTRONAUTA,BALANZA,3,3,3,3,,
31,TROMPETA,MÚSICA,ESCRITOR,MES,3,3,3,3,,
32,VEHÍCULO,RUEDA,COLUMNA,OTOÑO,3,3,3,3,,
33,PAREJA,AMOR,VERDAD,MUSICA,1,1,1,1,,
34,RISA,ALEGRÍA,GENIO,AMABILIDAD,1,1,1,1,,
35,NOVIO,BODA,SABIDURÍA,TESORO,1,1,1,1,,
36,NENE,BELLEZA,PELÍCULA,VISIÓN,1,1,1,1,,
37,PASIÓN,AMOR,DAÑO,PORQUERÍA,1,1,2,2,,
38,CACHORRO,PERRITO,PROBLEMA,OFENSA,1,1,2,2,,
39,CASA,JARDÍN,ESCOPETA,ROÑA,1,1,2,2,,
40,ARCOIRIS,COLOR,SOBERBIO,ESCLAVO,1,1,2,2,,
41,VIDA,MUERTE,BAILARÍN,PRESTIGIO,1,2,1,1,,
42,PAZ,GUERRA,CASCADA,MOVILIDAD,1,2,1,1,,
43,PROGRESO,RETRASO,FIRMAMENTO,TERNURA,1,2,1,1,,
44,RESPETO,ATAÚD,BRILLO,LAGO,1,2,1,1,,
45,RIQUEZA,POBREZA,LEPRA,ACCIDENTE,1,2,2,2,,
46,SALUD,ENFERMEDAD,CASTIGO,BANCARROTA,1,2,2,2,,
47,SABIO,TONTO,DEJADEZ,CARROÑA,1,2,2,2,,
48,PERFECCIÓN,ERROR,TÓXICO,DOLENCIA,1,2,2,2,,
49,LEPRA,PIEL,BIENVENIDO,CAMPEÓN,2,1,1,1,,
50,MALDAD,BONDAD,DIAMANTE,BAÑERA,2,1,1,1,,
51,EGOÍSMO,GENEROSIDAD,INFECCIÓN,CIELO,2,1,1,1,,
52,EJÉRCITO,VERDE,POESÍA,PASTEL,2,1,1,1,,
53,ACCIDENTE,COCHE,LEPRA,SARAMPIÓN,2,1,2,2,,
54,SÍFILIS,SEXO,MATANZA,TANQUE,2,1,2,2,,
55,DIVORCIO,PAREJA,FRAUDE,FIEBRE,2,1,2,2,,
56,PENA,GLORIA,CAOS,VERTEDERO,2,1,2,2,,
57,BALA,PISTOLA,GANANCIAS,APLAUSOS,2,2,1,1,,
58,INDEFENSIÓN,DEBILIDAD,TESORO,DECORACIÓN,2,2,1,1,,
59,CADÁVER,ATAÚD,DESCANSO,FIRMAMENTO,2,2,1,1,,
60,MENTIRA,ENGAÑO,ESPERANZA,CASITA,2,2,1,1,,
61,FUSIL,ARMA,DECEPCIÓN,CRIMEN,2,2,2,2,,
62,MUGRE,SUCIO,AMPOLLA,DÉBIL,2,2,2,2,,
63,BOMBA,TERRORISTA,GANGRENA,VÍBORA,2,2,2,2,,
64,GUILLOTINA,CUCHILLO,GROSERÍA,HURACÁN,2,2,2,2,,
65,GATITO,MASCOTA,PROYECTO,SOL,1,1,1,1,,
66,NIEVE,MONTAÑA,RESTAURANTE,VIRTUD,1,1,1,1,,
67,VICTORIA,TRIUNFO,JUVENTUD,BELLEZA,1,1,1,1,,
68,PLACER,GUSTO,COMEDIA,LEALTAD,1,1,1,1,,
69,OPTIMISMO,FUTURO,REHÉN,MULTA,1,1,2,2,,
70,CURACIÓN,SALUD,QUEJA,DIVORCIO,1,1,2,2,,
71,TROFEO,PREMIO,ESTRÉS,INFIDELIDAD,1,1,2,2,,
72,OPORTUNIDAD,SUERTE,HASTÍO,INFERIOR,1,1,2,2,,
73,PARAÍSO,INFIERNO,TOLERANCIA,SOCIABILIDAD,1,2,1,1,,
74,AVENTURA,PELIGRO,MADRE,RESPETO,1,2,1,1,,
75,VALENTÍA,COBARDÍA,ORGASMO,OBSEQUIO,1,2,1,1,,
76,TRANQUILIDAD,NERVIOS,BANQUETE,PASTEL,1,2,1,1,,
77,AIRE,CONTAMINACIÓN,ODIO,SARAMPIÓN,1,2,2,2,,
78,TESORO,PELIGRO,AMBULANCIA,BURLA,1,2,2,2,,
79,LIBERACIÓN,CÁRCEL,QUEMADO,DEFORME,1,2,2,2,,
80,RESCATE,SECUESTRO,LESIÓN,GANGRENA,1,2,2,2,,
81,PÁNICO,AVIÓN,MARIPOSA,ALBA,2,1,1,1,,
82,IGNORANCIA,CONOCIMIENTO,GOCE,AZÚCAR,2,1,1,1,,
83,LADRÓN,JOYA,COSTA,PRIMAVERA,2,1,1,1,,
84,CRISIS,FAMILIA,CANCIÓN,AMANECER,2,1,1,1,,
85,SUCIO,DUCHA,ABURRIMIENTO,CICLÓN,2,1,2,2,,
86,DOLOR,CORAZÓN,SALVAJE,DESVENTAJA,2,1,2,2,,
87,FRACASO,ÉXITO,SOLEDAD,ACCIDENTE,2,1,2,2,,
88,CANSANCIO,SUEÑO,PISTOLA,INCENDIO,2,1,2,2,,
89,VENENO,TÓXICO,RESPETO,CÁLIDO,2,2,1,1,,
90,GUERRA,SUFRIMIENTO,CUMPLEAÑOS,CARAMELO,2,2,1,1,,
91,ENGAÑO,CUERNOS,INSPIRACIÓN,RESCATE,2,2,1,1,,
92,POBREZA,PENA,AGILIDAD,PADRE,2,2,1,1,,
93,ENTIERRO,ATAÚD,INFECCIÓN,INFIEL,2,2,2,2,,
94,INTRUSO,INVASOR,BALA,HERIDAS,2,2,2,2,,
95,MASACRE,GUERRA,RAPTO,BANCARROTA,2,2,2,2,,
96,INSULTO,IDIOTA,HEDOR,PUS,2,2,2,2,,
97,BLANCO,NEGRO,TURISTA,SENDERO,3,3,3,3,,
98,CÍRCULO,BOLA,MANIQUI,ESQUINA,3,3,3,3,,
99,COCINA,COMIDA,MOLDE,CANAL,3,3,3,3,,
100,MONEDA,DINERO,VOZ,NARIZ,3,3,3,3,,
101,MUSEO,ARTE,NIEBLA,TEORIA,3,3,3,3,,
102,OFICINA,PAPEL,CAPA,TERRITORIO,3,3,3,3,,
103,TIMBRE,VISITA,PIE,RASCACIELOS,3,3,3,3,,
104,VEHÍCULO,COCHE,CIRCO,MOLINO,3,3,3,3,,
105,CABLE,ELECTRICIDAD,MOZO,LEON,3,3,3,3,,
106,BOTELLA,VIDRIO,POLITICA,TRANCE,3,3,3,3,,
107,CALIDAD,CANTIDAD,LENGUAJE,MAIZ,3,3,3,3,,
108,ABISMO,HUECO,BIBLIOTECA,TORRE,3,3,3,3,,
109,CURA,MONJA,ATICO,MUECA,3,3,3,3,,
110,IDEA,METODO,SOMBRERO,LAMPARA,3,3,3,3,,
111,METAL,TENEDOR,AUTOBUS,FARO,3,3,3,3,,
